"gene","locus_tag","product","combined"
"murA","NWMN_2004","UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1","murA: UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1"
"2005","NWMN_2005","conserved hypothetical protein","2005: conserved hypothetical protein"
"atpC","NWMN_2006","ATP synthase F1%2C epsilon subunit","atpC: ATP synthase F1%2C epsilon subunit"
"atpD","NWMN_2007","ATP synthase%2C beta subunit","atpD: ATP synthase%2C beta subunit"
"atpG","NWMN_2008","ATP synthase%2C gamma subunit","atpG: ATP synthase%2C gamma subunit"
"atpA","NWMN_2009","ATP synthase F1%2C alpha subunit","atpA: ATP synthase F1%2C alpha subunit"
"atpH","NWMN_2010","ATP synthase F1%2C delta subunit","atpH: ATP synthase F1%2C delta subunit"
"atpF","NWMN_2011","ATP synthase subunit b","atpF: ATP synthase subunit b"
"atpE","NWMN_2012","ATP synthase subunit c","atpE: ATP synthase subunit c"
"atpB","NWMN_2013","ATP synthase subunit a","atpB: ATP synthase subunit a"
"p:atpI","NWMN_2014","conserved hypothetical protein","p:atpI: conserved hypothetical protein"
"mnaA","NWMN_2015","UDP-GlcNAc 2-epimerase","mnaA: UDP-GlcNAc 2-epimerase"
"upp","NWMN_2016","uracil phosphoribosyltransferase","upp: uracil phosphoribosyltransferase"
"glyA","NWMN_2017","serine hydroxymethyltransferase","glyA: serine hydroxymethyltransferase"
"2018","NWMN_2018","conserved hypothetical protein","2018: conserved hypothetical protein"
"p:ptpB","NWMN_2019","low molecular weight protein-tyrosine-phosphatase","p:ptpB: low molecular weight protein-tyrosine-phosphatase"
"2020","NWMN_2020","Sua5/YciO/YrdC/YwlC family protein","2020: Sua5/YciO/YrdC/YwlC family protein"
"p:prmC","NWMN_2021","modification methylase HemK family protein","p:prmC: modification methylase HemK family protein"
"prfA","NWMN_2022","peptide chain release factor 1","prfA: peptide chain release factor 1"
"tdk","NWMN_2023","thymidine kinase","tdk: thymidine kinase"
"rpmE","NWMN_2024","50S ribosomal protein L31 type B","rpmE: 50S ribosomal protein L31 type B"
"rho","NWMN_2025","transcription termination factor Rho","rho: transcription termination factor Rho"
"2026","NWMN_2026","aldehyde dehydrogenase family protein","2026: aldehyde dehydrogenase family protein"
"p:qsrR","NWMN_2027","conserved hypothetical protein","p:qsrR: conserved hypothetical protein"
"murZ","NWMN_2028","UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2","murZ: UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2"
"fbaA","NWMN_2029","fructose-bisphosphate aldolase","fbaA: fructose-bisphosphate aldolase"
"2030","NWMN_2030","conserved hypothetical protein","2030: conserved hypothetical protein"
"pyrG","NWMN_2031","CTP synthase","pyrG: CTP synthase"
"rpoE","NWMN_2032","DNA-directed RNA polymerase delta subunit","rpoE: DNA-directed RNA polymerase delta subunit"
"2033","NWMN_2033","acetyltransferase%2C GNAT family protein","2033: acetyltransferase%2C GNAT family protein"
"p:coaA","NWMN_2034","conserved hypothetical protein","p:coaA: conserved hypothetical protein"
"2035","NWMN_2035","conserved hypothetical protein","2035: conserved hypothetical protein"
"2036","NWMN_2036","conserved hypothetical protein","2036: conserved hypothetical protein"
"p:hmrA","NWMN_2037","conserved hypothetical protein","p:hmrA: conserved hypothetical protein"
"luxS","NWMN_2038","S-ribosylhomocysteine lyase","luxS: S-ribosylhomocysteine lyase"
"2039","NWMN_2039","conserved hypothetical protein","2039: conserved hypothetical protein"
"pdp","NWMN_2040","pyrimidine nucleoside phosphorylase","pdp: pyrimidine nucleoside phosphorylase"
"deoC","NWMN_2041","deoxyribose-phosphate aldolase","deoC: deoxyribose-phosphate aldolase"
"deoD","NWMN_2042","purine nucleoside phosphorylase","deoD: purine nucleoside phosphorylase"
"p:dps","NWMN_2043","conserved hypothetical protein","p:dps: conserved hypothetical protein"
"2044","NWMN_2044","thiol-disulphide oxidoreductase%2C DCC family protein","2044: thiol-disulphide oxidoreductase%2C DCC family protein"
"2045","NWMN_2045","conserved hypothetical protein","2045: conserved hypothetical protein"
"2046","NWMN_2046","conserved hypothetical protein","2046: conserved hypothetical protein"
"manA1","NWMN_2047","mannose-6-phosphate isomerase%2C class I","manA1: mannose-6-phosphate isomerase%2C class I"
"2048","NWMN_2048","conserved hypothetical protein","2048: conserved hypothetical protein"
"p:czrA","NWMN_2049","zinc and cobalt transport repressor protein","p:czrA: zinc and cobalt transport repressor protein"
"p:czrB","NWMN_2050","cation efflux family protein","p:czrB: cation efflux family protein"
"2051","NWMN_2051","lytic regulatory protein","2051: lytic regulatory protein"
"2052","NWMN_2052","truncated resolvase","2052: truncated resolvase"
"2053","NWMN_2053","SAP domain protein","2053: SAP domain protein"
"2054","NWMN_2054","haloacid dehalogenase-like hydrolase","2054: haloacid dehalogenase-like hydrolase"
"2055","NWMN_2055","ABC transporter%2C ATP-binding protein","2055: ABC transporter%2C ATP-binding protein"
"glmS","NWMN_2056","glucosamine-fructose-6-phosphate aminotransferase%2C isomerizing","glmS: glucosamine-fructose-6-phosphate aminotransferase%2C isomerizing"
"mtlF","NWMN_2057","PTS system%2C mannitol-specific IIBC component","mtlF: PTS system%2C mannitol-specific IIBC component"
"p:mtlR","NWMN_2058","transcriptional antiterminator BglG family protein","p:mtlR: transcriptional antiterminator BglG family protein"
"mtlA","NWMN_2059","mannitol-specific IIA component","mtlA: mannitol-specific IIA component"
"mtlD","NWMN_2060","mannitol-1-phosphate 5-dehydrogenase","mtlD: mannitol-1-phosphate 5-dehydrogenase"
"fmtB","NWMN_2061","methicillin resistance determinant FmtB protein","fmtB: methicillin resistance determinant FmtB protein"
"glmM","NWMN_2062","phosphoglucosamine-mutase","glmM: phosphoglucosamine-mutase"
"p:cdaR","NWMN_2063","conserved hypothetical protein","p:cdaR: conserved hypothetical protein"
"p:dacA","NWMN_2064","conserved hypothetical protein","p:dacA: conserved hypothetical protein"
"p:rocF","NWMN_2065","arginase","p:rocF: arginase"
"tnp.4","NWMN_2066",NA,"tnp.4: NA"
"p:salA","NWMN_2067","ATP-binding Mrp/Nbp35 family protein","p:salA: ATP-binding Mrp/Nbp35 family protein"
"p:lmrS","NWMN_2068","drug resistance transporter EmrB/QacA subfamily protein","p:lmrS: drug resistance transporter EmrB/QacA subfamily protein"
"p:sepA","NWMN_2069","conserved hypothetical protein","p:sepA: conserved hypothetical protein"
"p:sdrM","NWMN_2070","conserved hypothetical protein","p:sdrM: conserved hypothetical protein"
"2071","NWMN_2071","hemolysin III","2071: hemolysin III"
"2072","NWMN_2072","conserved hypothetical protein","2072: conserved hypothetical protein"
"2073","NWMN_2073","conserved hypothetical protein","2073: conserved hypothetical protein"
"2074","NWMN_2074","conserved hypothetical protein","2074: conserved hypothetical protein"
"2075","NWMN_2075","conserved hypothetical protein","2075: conserved hypothetical protein"
"p:htsC","NWMN_2076","FecCD iron compound ABC transporter%2C permease family protein","p:htsC: FecCD iron compound ABC transporter%2C permease family protein"
"p:htsB","NWMN_2077","iron compound ABC transporter%2C permease protein","p:htsB: iron compound ABC transporter%2C permease protein"
"p:htsA","NWMN_2078","ferrichrome ABC transporter lipoprotein","p:htsA: ferrichrome ABC transporter lipoprotein"
"p:sfnaC","NWMN_2079","conserved hypothetical protein","p:sfnaC: conserved hypothetical protein"
"p:sfnaB","NWMN_2080","aerobactin biosynthesis IucA/IucC family protein","p:sfnaB: aerobactin biosynthesis IucA/IucC family protein"
"p:sfnaA","NWMN_2081","conserved hypothetical protein","p:sfnaA: conserved hypothetical protein"
"p:sfnaD","NWMN_2082","aerobactin biosynthesis IucA/IucC family protein","p:sfnaD: aerobactin biosynthesis IucA/IucC family protein"
"2083","NWMN_2083","truncated transposase for IS1272","2083: truncated transposase for IS1272"
"2084","NWMN_2084","truncated transposase for IS1272","2084: truncated transposase for IS1272"
"2085","NWMN_2085","truncated transposase for IS1272","2085: truncated transposase for IS1272"
"p:asp23","NWMN_2086","alkaline shock protein 23","p:asp23: alkaline shock protein 23"
"2087","NWMN_2087","conserved hypothetical protein","2087: conserved hypothetical protein"
"p:amaP","NWMN_2088","conserved hypothetical protein","p:amaP: conserved hypothetical protein"
"p:opuD2","NWMN_2089","osmoprotectant transporter","p:opuD2: osmoprotectant transporter"
"2090","NWMN_2090","conserved hypothetical protein","2090: conserved hypothetical protein"
"2091","NWMN_2091","conserved hypothetical protein","2091: conserved hypothetical protein"
"2092","NWMN_2092","conserved hypothetical protein","2092: conserved hypothetical protein"
"lacG","NWMN_2093","6-phospho-beta-galactosidase","lacG: 6-phospho-beta-galactosidase"
"lacE","NWMN_2094","PTS system%2C lactose-specific IIBC component","lacE: PTS system%2C lactose-specific IIBC component"
"lacF","NWMN_2095","PTS system%2C lactose-specific IIA component","lacF: PTS system%2C lactose-specific IIA component"
"lacD","NWMN_2096","tagatose 1%2C6-diphosphate aldolase","lacD: tagatose 1%2C6-diphosphate aldolase"
"lacC","NWMN_2097","tagatose-6-phosphate kinase","lacC: tagatose-6-phosphate kinase"
"lacB","NWMN_2098","galactose-6-phosphate isomerase LacB subunit","lacB: galactose-6-phosphate isomerase LacB subunit"
"lacA","NWMN_2099","galactose-6-phosphate isomerase LacA subunit","lacA: galactose-6-phosphate isomerase LacA subunit"
"lacR","NWMN_2100","lactose phosphotransferase system repressor","lacR: lactose phosphotransferase system repressor"
"p:cobB","NWMN_2101","conserved hypothetical protein","p:cobB: conserved hypothetical protein"
"2102","NWMN_2102","conserved hypothetical protein","2102: conserved hypothetical protein"
"2103","NWMN_2103","conserved hypothetical protein","2103: conserved hypothetical protein"
"2104","NWMN_2104","aldo/keto reductase family protein","2104: aldo/keto reductase family protein"
"2105","NWMN_2105","transcriptional regulator MerR family protein","2105: transcriptional regulator MerR family protein"
"hysA","NWMN_2106","hyaluronate lyase precursor","hysA: hyaluronate lyase precursor"
"2107","NWMN_2107","M23/M37 peptidase domain protein","2107: M23/M37 peptidase domain protein"
"2108","NWMN_2108","HAD-superfamily hydrolase subfamily IIB","2108: HAD-superfamily hydrolase subfamily IIB"
"2109","NWMN_2109","truncated MHC class II analog protein","2109: truncated MHC class II analog protein"
"alsD","NWMN_2110","alpha-acetolactate decarboxylase","alsD: alpha-acetolactate decarboxylase"
"alsS","NWMN_2111","alpha-acetolactate synthase","alsS: alpha-acetolactate synthase"
"2112","NWMN_2112","conserved hypothetical protein","2112: conserved hypothetical protein"
"2113","NWMN_2113","conserved hypothetical protein","2113: conserved hypothetical protein"
"2114","NWMN_2114","conserved hypothetical protein","2114: conserved hypothetical protein"
"2115","NWMN_2115","conserved hypothetical protein","2115: conserved hypothetical protein"
"2116","NWMN_2116","conserved hypothetical protein","2116: conserved hypothetical protein"
"2117","NWMN_2117","conserved hypothetical protein","2117: conserved hypothetical protein"
"2118","NWMN_2118","conserved hypothetical protein","2118: conserved hypothetical protein"
"rpsI","NWMN_2119","30S ribosomal protein S9","rpsI: 30S ribosomal protein S9"
"rplM","NWMN_2120","50S ribosomal protein L13","rplM: 50S ribosomal protein L13"
"truA","NWMN_2121","tRNA pseudouridine synthase A","truA: tRNA pseudouridine synthase A"
"p:ecfT","NWMN_2122","conserved hypothetical protein","p:ecfT: conserved hypothetical protein"
"cbiO.1","NWMN_2123","ABC transporter ATP-binding protein","cbiO.1: ABC transporter ATP-binding protein"
"cbiO.2","NWMN_2124","ATP-binding ABC transporter","cbiO.2: ATP-binding ABC transporter"
"rplQ","NWMN_2125","50S ribosomal protein L17","rplQ: 50S ribosomal protein L17"
"rpoA","NWMN_2126","DNA-directed RNA polymerase alpha chain","rpoA: DNA-directed RNA polymerase alpha chain"
"rpsK","NWMN_2127","30S ribosomal protein S11","rpsK: 30S ribosomal protein S11"
"rpsM","NWMN_2128","30S ribosomal protein S13","rpsM: 30S ribosomal protein S13"
"rpmJ","NWMN_2129","50S ribosomal protein L36","rpmJ: 50S ribosomal protein L36"
"infA","NWMN_2130","translation initiation factor IF-1","infA: translation initiation factor IF-1"
"adk","NWMN_2131","adenylate kinase","adk: adenylate kinase"
"secY","NWMN_2132","preprotein translocase SecY subunit","secY: preprotein translocase SecY subunit"
"rplO","NWMN_2133","50S ribosomal protein L15","rplO: 50S ribosomal protein L15"
"rpmD","NWMN_2134","50S ribosomal protein L30","rpmD: 50S ribosomal protein L30"
"rpsE","NWMN_2135","30S ribosomal protein S5","rpsE: 30S ribosomal protein S5"
"rplR","NWMN_2136","50S ribosomal protein L18","rplR: 50S ribosomal protein L18"
"rplF","NWMN_2137","50S ribosomal protein L6","rplF: 50S ribosomal protein L6"
"rpsH","NWMN_2138","30S ribosomal protein S8","rpsH: 30S ribosomal protein S8"
"rpsN.2","NWMN_2139","30S ribosomal protein S14","rpsN.2: 30S ribosomal protein S14"
"rplE","NWMN_2140","50S ribosomal protein L5","rplE: 50S ribosomal protein L5"
"rplX","NWMN_2141","50S ribosomal protein L24","rplX: 50S ribosomal protein L24"
"rplN","NWMN_2142","50S ribosomal protein L14","rplN: 50S ribosomal protein L14"
"rpsQ","NWMN_2143","30S ribosomal protein S17","rpsQ: 30S ribosomal protein S17"
"rpmC","NWMN_2144","50S ribosomal protein L29","rpmC: 50S ribosomal protein L29"
"rplP","NWMN_2145","50S ribosomal protein L16","rplP: 50S ribosomal protein L16"
"rpsC","NWMN_2146","30S ribosomal protein S3","rpsC: 30S ribosomal protein S3"
"rplV","NWMN_2147","50S ribosomal protein L22","rplV: 50S ribosomal protein L22"
"rpsS","NWMN_2148","30S ribosomal protein S19","rpsS: 30S ribosomal protein S19"
"rplB","NWMN_2149","50S ribosomal protein L2","rplB: 50S ribosomal protein L2"
"rplW","NWMN_2150","50S ribosomal protein L23","rplW: 50S ribosomal protein L23"
"rplD","NWMN_2151","50S ribosomal protein L4","rplD: 50S ribosomal protein L4"
"rplC","NWMN_2152","50S ribosomal protein L3","rplC: 50S ribosomal protein L3"
"rpsJ","NWMN_2153","30S ribosomal protein S10","rpsJ: 30S ribosomal protein S10"
"2154","NWMN_2154","conserved hypothetical protein","2154: conserved hypothetical protein"
"p:pbuG","NWMN_2155","xanthine/uracil permeases family protein","p:pbuG: xanthine/uracil permeases family protein"
"topB","NWMN_2156","DNA topoisomerase III","topB: DNA topoisomerase III"
"2157","NWMN_2157","GCN5-related N-acetyltransferase","2157: GCN5-related N-acetyltransferase"
"p:glcU","NWMN_2158","glucose uptake protein","p:glcU: glucose uptake protein"
"2159","NWMN_2159","conserved hypothetical protein","2159: conserved hypothetical protein"
"2160","NWMN_2160","conserved hypothetical protein","2160: conserved hypothetical protein"
"p:mspA","NWMN_2161","conserved hypothetical protein","p:mspA: conserved hypothetical protein"
"p:rnd2","NWMN_2162","acriflavin resistance protein","p:rnd2: acriflavin resistance protein"
"fmhB","NWMN_2163","peptidoglycan pentaglycine interpeptide biosynthesis protein","fmhB: peptidoglycan pentaglycine interpeptide biosynthesis protein"
"2164","NWMN_2164","conserved hypothetical protein","2164: conserved hypothetical protein"
"2165","NWMN_2165","MarR family regulatory protein","2165: MarR family regulatory protein"
"2166","NWMN_2166","conserved hypothetical protein","2166: conserved hypothetical protein"
"sarV","NWMN_2167","staphylococcal accessory regulator V","sarV: staphylococcal accessory regulator V"
"moaA","NWMN_2168","molybdenum cofactor biosynthesis protein A","moaA: molybdenum cofactor biosynthesis protein A"
"mobA","NWMN_2169","molybdopterin-guanine dinucleotide biosynthesis protein A","mobA: molybdopterin-guanine dinucleotide biosynthesis protein A"
"moaD","NWMN_2170","molybdopterin synthase small subunit","moaD: molybdopterin synthase small subunit"
"moaE","NWMN_2171","molybdopterin synthase large subunit","moaE: molybdopterin synthase large subunit"
"mobB","NWMN_2172","molybdopterin-guanine dinucleotide biosynthesis protein B","mobB: molybdopterin-guanine dinucleotide biosynthesis protein B"
"moeA","NWMN_2173","molybdopterin biosynthesis protein MoeA","moeA: molybdopterin biosynthesis protein MoeA"
"moaC","NWMN_2174","molybdenum cofactor biosynthesis protein C","moaC: molybdenum cofactor biosynthesis protein C"
"moaB","NWMN_2175","molybdopterin precursor biosynthesis moaB","moaB: molybdopterin precursor biosynthesis moaB"
"moeB","NWMN_2176","molybdopterin biosynthesis MoeB","moeB: molybdopterin biosynthesis MoeB"
"modC","NWMN_2177","molybdenum ABC transporter%2C ATP-binding protein ModC","modC: molybdenum ABC transporter%2C ATP-binding protein ModC"
"modB","NWMN_2178","molybdenum ABC transporter%2C permease protein","modB: molybdenum ABC transporter%2C permease protein"
"modA","NWMN_2179","molybdenum ABC transporter%2C periplasmic molybdate-binding protein","modA: molybdenum ABC transporter%2C periplasmic molybdate-binding protein"
"p:fdhD","NWMN_2180","formate dehydrogenase family accessory FdhD/NarQ family protein","p:fdhD: formate dehydrogenase family accessory FdhD/NarQ family protein"
"2181","NWMN_2181","acetyltransferase%2C GNAT family protein","2181: acetyltransferase%2C GNAT family protein"
"p:bioY","NWMN_2182","biotin biosynthesis BioY family protein","p:bioY: biotin biosynthesis BioY family protein"
"2183","NWMN_2183","inosine-uridine preferring nucleoside hydrolase family protein","2183: inosine-uridine preferring nucleoside hydrolase family protein"
"2184","NWMN_2184","hypothetical protein","2184: hypothetical protein"
"p:fhuD2","NWMN_2185","iron compound ABC transporter%2C iron compound-binding protein","p:fhuD2: iron compound ABC transporter%2C iron compound-binding protein"
"p:ydbM","NWMN_2186","acyl-CoA dehydrogenase-related protein","p:ydbM: acyl-CoA dehydrogenase-related protein"
"s:yut","NWMN_2187","conserved hypothetical protein","s:yut: conserved hypothetical protein"
"ureA","NWMN_2188","urease gamma subunit","ureA: urease gamma subunit"
"ureB","NWMN_2189","urease beta subunit","ureB: urease beta subunit"
"ureC","NWMN_2190","urease alpha subunit","ureC: urease alpha subunit"
"ureE","NWMN_2191","urease accessory protein UreE","ureE: urease accessory protein UreE"
"ureF","NWMN_2192","urease accessory protein UreF","ureF: urease accessory protein UreF"
"ureG","NWMN_2193","urease accessory protein UreG","ureG: urease accessory protein UreG"
"ureD","NWMN_2194","urease accessory protein UreD","ureD: urease accessory protein UreD"
"sarR","NWMN_2195","staphylococcal accessory regulator R","sarR: staphylococcal accessory regulator R"
"2196","NWMN_2196","conserved hypothetical protein","2196: conserved hypothetical protein"
"sarY","NWMN_2197","staphylococcal accessory regulator Y","sarY: staphylococcal accessory regulator Y"
"2198","NWMN_2198","transcriptional regulator AraC family protein","2198: transcriptional regulator AraC family protein"
"p:ssaA","NWMN_2199","secretory antigen precursor SsaA","p:ssaA: secretory antigen precursor SsaA"
"nhaC","NWMN_2200","Na+/H+ antiporter NhaC","nhaC: Na+/H+ antiporter NhaC"
"2201","NWMN_2201","dehydrogenase family protein","2201: dehydrogenase family protein"
"2202","NWMN_2202","conserved hypothetical protein","2202: conserved hypothetical protein"
"2203","NWMN_2203","secretory antigen precursor SsaA","2203: secretory antigen precursor SsaA"
"2204","NWMN_2204","conserved hypothetical protein","2204: conserved hypothetical protein"
"2205","NWMN_2205","D-isomer specific 2-hydroxyacid dehydrogenase family protein","2205: D-isomer specific 2-hydroxyacid dehydrogenase family protein"
"2206","NWMN_2206","monooxygenase family protein","2206: monooxygenase family protein"
"2207","NWMN_2207","N-acetylmuramoyl-L-alanine amidase%2C family 4","2207: N-acetylmuramoyl-L-alanine amidase%2C family 4"
"2208","NWMN_2208","hypothetical protein","2208: hypothetical protein"
"2209","NWMN_2209","conserved hypothetical protein","2209: conserved hypothetical protein"
"p:fdhA","NWMN_2210","formate dehydrogenase homolog","p:fdhA: formate dehydrogenase homolog"
"2211","NWMN_2211","cell envelope-related transcriptional attenuator","2211: cell envelope-related transcriptional attenuator"
"2212","NWMN_2212","inositol monophosphatase family protein","2212: inositol monophosphatase family protein"
"2213","NWMN_2213","DeoR family regulatory protein","2213: DeoR family regulatory protein"
"2214","NWMN_2214","truncated transposase","2214: truncated transposase"
"p:spdB","NWMN_2215","conserved hypothetical protein","p:spdB: conserved hypothetical protein"
"2216","NWMN_2216","conserved hypothetical protein","2216: conserved hypothetical protein"
"p:rpiRc","NWMN_2217","phosphosugar-binding transcriptional regulator RpiR family protein","p:rpiRc: phosphosugar-binding transcriptional regulator RpiR family protein"
"2218","NWMN_2218","conserved hypothetical protein","2218: conserved hypothetical protein"
"2219","NWMN_2219","conserved hypothetical protein","2219: conserved hypothetical protein"
"2220","NWMN_2220","conserved hypothetical protein","2220: conserved hypothetical protein"
"2221","NWMN_2221","haloacid dehalogenase-like hydrolase","2221: haloacid dehalogenase-like hydrolase"
"2222","NWMN_2222","sodium/bile acid symporter family protein","2222: sodium/bile acid symporter family protein"
"2223","NWMN_2223","conserved hypothetical protein","2223: conserved hypothetical protein"
"p:glvC","NWMN_2224","PTS system%2C alpha-glucoside-specific IIBC component","p:glvC: PTS system%2C alpha-glucoside-specific IIBC component"
"p:glvR","NWMN_2225","phosphosugar-binding transcriptional regulator","p:glvR: phosphosugar-binding transcriptional regulator"
"2226","NWMN_2226","conserved hypothetical protein","2226: conserved hypothetical protein"
"2227","NWMN_2227","Na+/H+ antiporter family protein","2227: Na+/H+ antiporter family protein"
"2228","NWMN_2228","conserved hypothetical protein","2228: conserved hypothetical protein"
"2229","NWMN_2229","oxidoreductase%2C short chain dehydrogenase/reductase family protein","2229: oxidoreductase%2C short chain dehydrogenase/reductase family protein"
"2230","NWMN_2230","peptidase M20/M25/M40 family protein","2230: peptidase M20/M25/M40 family protein"
"hutI","NWMN_2231","imidazolonepropionase","hutI: imidazolonepropionase"
"hutU","NWMN_2232","urocanate hydratase","hutU: urocanate hydratase"
"p:hutR","NWMN_2233","LysR family regulatory protein","p:hutR: LysR family regulatory protein"
"fofB","NWMN_2234","fosfomycin resistance protein fofB","fofB: fosfomycin resistance protein fofB"
"hutG","NWMN_2235","formiminoglutamase","hutG: formiminoglutamase"
"p:lyrA","NWMN_2236","abortive infection protein family protein","p:lyrA: abortive infection protein family protein"
"rpi","NWMN_2237","ribose 5-phosphate isomerase A","rpi: ribose 5-phosphate isomerase A"
"2238","NWMN_2238","conserved hypothetical protein","2238: conserved hypothetical protein"
"p:galM","NWMN_2239","aldose 1-epimerase precursor","p:galM: aldose 1-epimerase precursor"
"2240","NWMN_2240","conserved hypothetical protein","2240: conserved hypothetical protein"
"2241","NWMN_2241","conserved hypothetical protein","2241: conserved hypothetical protein"
"2242","NWMN_2242","ABC transporter ATP-binding protein","2242: ABC transporter ATP-binding protein"
"2243","NWMN_2243","conserved hypothetical protein","2243: conserved hypothetical protein"
"2244","NWMN_2244","conserved hypothetical protein","2244: conserved hypothetical protein"
"p:aag","NWMN_2245","3-methyladenine DNA glycosylase","p:aag: 3-methyladenine DNA glycosylase"
"p:gltS","NWMN_2246","sodium/glutamate symporter","p:gltS: sodium/glutamate symporter"
"idi","NWMN_2247","isopentenyl-diphosphate delta-isomerase","idi: isopentenyl-diphosphate delta-isomerase"
"p:corA","NWMN_2248","CorA-like Mg2+ transporter protein","p:corA: CorA-like Mg2+ transporter protein"
"2249","NWMN_2249","conserved hypothetical protein","2249: conserved hypothetical protein"
"2250","NWMN_2250","conserved hypothetical protein","2250: conserved hypothetical protein"
"2251","NWMN_2251","esterase-like protein","2251: esterase-like protein"
"2252","NWMN_2252","conserved hypothetical protein","2252: conserved hypothetical protein"
"p:emrB","NWMN_2253","drug resistance transporter EmrB/QacA subfamily protein","p:emrB: drug resistance transporter EmrB/QacA subfamily protein"
"2254","NWMN_2254","conserved hypothetical protein","2254: conserved hypothetical protein"
"2255","NWMN_2255","transcriptional regulator TetR family protein","2255: transcriptional regulator TetR family protein"
"tcaB","NWMN_2256","teicoplanin resistance associated protein B","tcaB: teicoplanin resistance associated protein B"
"tcaA","NWMN_2257","teicoplanin resistance associated protein A","tcaA: teicoplanin resistance associated protein A"
"tcaR","NWMN_2258","teicoplanin resistance operon transcriptional regulator TcaR","tcaR: teicoplanin resistance operon transcriptional regulator TcaR"
"2259","NWMN_2259","conserved hypothetical protein","2259: conserved hypothetical protein"
"2260","NWMN_2260","truncated transposase for IS1272","2260: truncated transposase for IS1272"
"p:hrtA","NWMN_2261","ABC transporter ATP-binding protein","p:hrtA: ABC transporter ATP-binding protein"
"p:hrtB","NWMN_2262","conserved hypothetical protein","p:hrtB: conserved hypothetical protein"
"p:hssR","NWMN_2263","DNA-binding response regulator","p:hssR: DNA-binding response regulator"
"p:hssS","NWMN_2264","sensor histidine kinase","p:hssS: sensor histidine kinase"
"2265","NWMN_2265","conserved hypothetical protein","2265: conserved hypothetical protein"
"2266","NWMN_2266","conserved hypothetical protein","2266: conserved hypothetical protein"
"mqo","NWMN_2267","malate:quinone oxidoreductase","mqo: malate:quinone oxidoreductase"
"p:lctP2","NWMN_2268","L-lactate permease 2","p:lctP2: L-lactate permease 2"
"2269","NWMN_2269","conserved hypothetical protein","2269: conserved hypothetical protein"
"2270","NWMN_2270","conserved hypothetical protein","2270: conserved hypothetical protein"
"p:paiA","NWMN_2271","acetyltransferase%2C GNAT family protein","p:paiA: acetyltransferase%2C GNAT family protein"
"2272","NWMN_2272","zinc-containing alcohol dehydrogenase superfamily protein","2272: zinc-containing alcohol dehydrogenase superfamily protein"
"2273","NWMN_2273","acetyltransferase%2C GNAT family protein","2273: acetyltransferase%2C GNAT family protein"
"p:iruO","NWMN_2274","pyridine nucleotide-disulfide oxidoreductase family protein","p:iruO: pyridine nucleotide-disulfide oxidoreductase family protein"
"2275","NWMN_2275","conserved hypothetical protein","2275: conserved hypothetical protein"
"2276","NWMN_2276","conserved hypothetical protein","2276: conserved hypothetical protein"
"2277","NWMN_2277","transcriptional regulator TetR family protein","2277: transcriptional regulator TetR family protein"
"p:corA2","NWMN_2278","CorA-like Mg2+ transporter protein","p:corA2: CorA-like Mg2+ transporter protein"
"p:scrA","NWMN_2279","PTS system%2C sucrose-specific IIBC component","p:scrA: PTS system%2C sucrose-specific IIBC component"
"2280","NWMN_2280","conserved hypothetical protein","2280: conserved hypothetical protein"
"p:rsp","NWMN_2281","transcriptional regulator AraC family protein","p:rsp: transcriptional regulator AraC family protein"
"2282","NWMN_2282","conserved hypothetical protein","2282: conserved hypothetical protein"
"2283","NWMN_2283","conserved hypothetical protein","2283: conserved hypothetical protein"
"p:gltT","NWMN_2284","proton/sodium-glutamate symporter","p:gltT: proton/sodium-glutamate symporter"
"2285","NWMN_2285","conserved hypothetical protein","2285: conserved hypothetical protein"
"p:sarZ","NWMN_2286","MarR family regulatory protein","p:sarZ: MarR family regulatory protein"
"2287","NWMN_2287","small heat shock protein Hsp20","2287: small heat shock protein Hsp20"
"p:narK","NWMN_2288","nitrite transport protein","p:narK: nitrite transport protein"
"2289","NWMN_2289","conserved hypothetical protein","2289: conserved hypothetical protein"
"2290","NWMN_2290","MerR family regulatory protein","2290: MerR family regulatory protein"
"p:nreC","NWMN_2291","transcriptional regulator DegU family protein","p:nreC: transcriptional regulator DegU family protein"
"p:nreB","NWMN_2292","sensor histidine kinase","p:nreB: sensor histidine kinase"
"p:nreA","NWMN_2293","conserved hypothetical protein","p:nreA: conserved hypothetical protein"
"narI","NWMN_2294","respiratory nitrate reductase%2C gamma subunit","narI: respiratory nitrate reductase%2C gamma subunit"
"narJ","NWMN_2295","respiratory nitrate reductase%2C delta subunit","narJ: respiratory nitrate reductase%2C delta subunit"
"narH","NWMN_2296","nitrate reductase beta chain","narH: nitrate reductase beta chain"
"narG","NWMN_2297","nitrate reductase%2C alpha subunit","narG: nitrate reductase%2C alpha subunit"
"cysG.1","NWMN_2298","uroporphyrin-III C-methyl transferase","cysG.1: uroporphyrin-III C-methyl transferase"
"nirD","NWMN_2299","assimilatory nitrite reductase [NAD(P)H]%2C small subunit","nirD: assimilatory nitrite reductase [NAD(P)H]%2C small subunit"
"nirB","NWMN_2300","assimilatory nitrite reductase [NAD(P)H]%2C large subunit","nirB: assimilatory nitrite reductase [NAD(P)H]%2C large subunit"
